spp,size,family,fg,habitat,Included,,,
Abudefduf_abdominalis,30,Pomacentridae,Planktivore,Reef,1,,,
Abudefduf_saxatilis,22.9,Pomacentridae,Planktivore,Reef,1,,,
Abudefduf_septemfasciatus,23,Pomacentridae,Planktivore,Reef,1,,,
Abudefduf_sexfasciatus,19,Pomacentridae,Planktivore,Reef,1,,,
Abudefduf_sordidus,24,Pomacentridae,Planktivore,Reef,1,,,
Abudefduf_vaigiensis,20,Pomacentridae,Planktivore,Reef,1,,,
Abudefduf_whitleyi,14,Pomacentridae,Planktivore,Reef,1,,,
Acanthemblemaria_aspera,4,Chaenopsidae,Detritivore,Reef,1,,,
Acanthemblemaria_maria,5.1,Chaenopsidae,Detritivore,Reef,1,,,
Acanthistius_fuscus,40,Serranidae,Piscivore,Reef,1,,,
Acanthochromis_polyacanthus,14,Pomacentridae,Planktivore,Reef,1,,,
Acanthocybium_solandri,250,Scombridae,Piscivore,Pelagic,0,,,
Acanthostracion_polygonius,50,Ostraciidae,Micro-invertivore,Reef,1,,,
Acanthostracion_quadricornis,55,Ostraciidae,Micro-invertivore,Reef,1,,,
Acanthurus_achilles,24,Acanthuridae,Grazer,Reef,1,,,
Acanthurus_achilles,24,Acanthuridae,Grazer,Reef,1,,,
Acanthurus_albipectoralis,33,Acanthuridae,Planktivore,Reef,1,,,
Acanthurus_auranticavus,45,Acanthuridae,Grazer,Reef,1,,,
Acanthurus_bahianus,38.1,Acanthuridae,Grazer,Reef,1,,,
Acanthurus_bariene,50,Acanthuridae,Grazer,Reef,1,,,
Acanthurus_blochii,45,Acanthuridae,Grazer,Reef,1,,,
Acanthurus_blochii,45,Acanthuridae,Grazer,Reef,1,,,
Acanthurus_chirugus,39,Acanthuridae,Grazer,Reef,1,,,
Acanthurus_coeruleus,39,Acanthuridae,Grazer,Out,0,,,
Acanthurus_dussumieri,54,Acanthuridae,Grazer,Reef,1,,,
Acanthurus_fowleri,45,Acanthuridae,Grazer,Reef,1,,,
Acanthurus_grammoptilus,35,Acanthuridae,Grazer,Reef,1,,,
Acanthurus_guttatus,26,Acanthuridae,Grazer,Reef,1,,,
Acanthurus_leucocheilus,45,Acanthuridae,Grazer,Reef,1,,,
Acanthurus_leucopareius,25,Acanthuridae,Grazer,Reef,1,,,
Acanthurus_leucosternon,54,Acanthuridae,Grazer,Reef,1,,,
Acanthurus_lineatus,38,Acanthuridae,Grazer,Reef,1,,,
Acanthurus_maculiceps,40,Acanthuridae,Grazer,Reef,1,,,
Acanthurus_mata,50,Acanthuridae,Planktivore,Reef,1,,,
Acanthurus_nigricans,21.3,Acanthuridae,Grazer,Reef,1,,,
Acanthurus_nigricauda,40,Acanthuridae,Grazer,Reef,1,,,
Acanthurus_nigrofuscus,21,Acanthuridae,Grazer,Reef,1,,,
Acanthurus_nigroris,25,Acanthuridae,Grazer,Reef,1,,,
Acanthurus_nigroris,25,Acanthuridae,Grazer,Reef,1,,,
Acanthurus_nubilus,26,Acanthuridae,Planktivore,Reef,1,,,
Acanthurus_olivaceus,35,Acanthuridae,Detritivore,Reef,1,,,
Acanthurus_olivaceus,35,Acanthuridae,Detritivore,Reef,1,,,
Acanthurus_pyroferus,29,Acanthuridae,Grazer,Reef,1,,,
Acanthurus_sp,36,Acanthuridae,Grazer,Reef,1,,,
Acanthurus_sp,36,Acanthuridae,Grazer,Reef,1,,,
Acanthurus_tennentii,31,Acanthuridae,Detritivore,Reef,1,,,
Acanthurus_thompsoni,27,Acanthuridae,Planktivore,Reef,1,,,
Acanthurus_triostegus,27,Acanthuridae,Grazer,Reef,1,,,
Acanthurus_tristis,25,Acanthuridae,Grazer,Reef,1,,,
Acanthurus_xanthopterus,70,Acanthuridae,Grazer,Reef,1,,,
Aethaloperca_rogaa,60,Serranidae,Piscivore,Reef,1,,,
Aetobatus_narinari,330,Myliobatidae,NA,Pelagic,0,,,
Aetobatus_narinari,330,Myliobatidae,NA,Pelagic,0,,,
Albula_glossodonta,90,Albulidae,NA,Sand,0,,,
Alectis_ciliaris,150,Carangidae,Piscivore,Pelagic,0,,,
Aluterus_scriptus,110,Monacanthidae,Micro-invertivore,Reef,1,,,
Amanses_scopas,20,Monacanthidae,Micro-invertivore,Reef,1,,,
Amblycirrhitus_bimacula,8.5,Cirrhitidae,Micro-invertivore,Reef,1,,,
Amblycirrhitus_pinos,9.5,Cirrhitidae,Micro-invertivore,Reef,1,,,
Amblyeleotris_fasciata,8,Gobiidae,Detritivore,Reef,1,,,
Amblyeleotris_guttata,11,Gobiidae,Detritivore,Reef,1,,,
Amblyeleotris_sp,9,Gobiidae,Detritivore,Reef,1,,,
Amblyglyphidodon_aureus,13,Pomacentridae,Planktivore,Reef,1,,,
Amblyglyphidodon_curacao,11,Pomacentridae,Planktivore,Reef,1,,,
Amblyglyphidodon_leucogaster,13,Pomacentridae,Planktivore,Reef,1,,,
Amblyglyphidodon_leucogaster,13,Pomacentridae,Planktivore,Reef,1,,,
Amblygobius_esakiae,8.5,Gobiidae,Detritivore,Reef,1,,,
Amblygobius_phalaena,15,Gobiidae,Detritivore,Reef,1,,,
Amblygobius_sp,10,Gobiidae,Detritivore,Reef,1,,,
Amblygobius_sp,10,Gobiidae,Detritivore,Reef,1,,,
Amblygobius_sphynx,18,Gobiidae,Detritivore,Reef,1,,,
Amphiprion_akindynos,9,Pomacentridae,Planktivore,Reef,1,,,
Amphiprion_chrysopterus,17,Pomacentridae,Planktivore,Reef,1,,,
Amphiprion_clarkii,15,Pomacentridae,Planktivore,Reef,1,,,
Amphiprion_fuscocaudatus,14,Pomacentridae,Planktivore,Reef,1,,,
Amphiprion_melanopus,12,Pomacentridae,Planktivore,Reef,1,,,
Amphiprion_nigripes,11,Pomacentridae,Planktivore,Reef,1,,,
Amphiprion_perideraion,10,Pomacentridae,Planktivore,Reef,1,,,
Anampses_caeruleopunctatus,42,Labridae,Micro-invertivore,Reef,1,,,
Anampses_caeruleopunctatus,42,Labridae,Micro-invertivore,Reef,1,,,
Anampses_chrysocephalus,17,Labridae,Micro-invertivore,Reef,1,,,
Anampses_cuvier,31,Labridae,Micro-invertivore,Reef,1,,,
Anampses_femininus,24,Labridae,Micro-invertivore,Reef,1,,,
Anampses_melanurus,12,Labridae,Micro-invertivore,Reef,1,,,
Anampses_meleagrides,22,Labridae,Micro-invertivore,Reef,1,,,
Anampses_neoguinaicus,20,Labridae,Micro-invertivore,Reef,1,,,
Anampses_neoguinaicus,20,Labridae,Micro-invertivore,Reef,1,,,
Anampses_sp,30,Labridae,Micro-invertivore,Reef,1,,,
Anampses_twistii,18,Labridae,Micro-invertivore,Reef,1,,,
Anisotremus_surinamensis,76,Haemulidae,Micro-invertivore,Reef,1,,,
Anisotremus_virginicus,40.6,Haemulidae,Micro-invertivore,Reef,1,,,
Antennarius_commerson,45,Antennariidae,Pisci-invertivore,Reef,1,,,
Anthias_sp,29,Serranidae,Planktivore,Reef,1,,,
Anthias_sp,29,Serranidae,Planktivore,Reef,1,,,
Anthias_sp,29,Serranidae,Planktivore,Reef,1,,,
Anyperodon_leucogrammicus,65,Serranidae,Piscivore,Reef,1,,,
Aphareus_furca,70,Lutjanidae,Piscivore,Pelagic,0,,,
Apogon_angustatus,11,Apogonidae,Planktivore,Reef,1,,,
Apogon_apogonoides,10,Apogonidae,Planktivore,Reef,1,,,
Apogon_binotatus,13,Apogonidae,Planktivore,Reef,1,,,
Apogon_cyanosoma,8,Apogonidae,Planktivore,Reef,1,,,
Apogon_erythrinus,4,Apogonidae,Planktivore,Reef,1,,,
Apogon_fraenatus,10,Apogonidae,Planktivore,Reef,1,,,
Apogon_fuscus,7,Apogonidae,Planktivore,Reef,1,,,
Apogon_kallopterus,15.5,Apogonidae,Planktivore,Reef,1,,,
Apogon_lachneri,6.5,Apogonidae,Planktivore,Reef,1,,,
Apogon_lateralis,11,Apogonidae,Planktivore,Reef,1,,,
Apogon_maculatus,11.1,Apogonidae,Planktivore,Reef,1,,,
Apogon_maculiferus,14,Apogonidae,Planktivore,Reef,1,,,
Apogon_novemfasciatus,10,Apogonidae,Planktivore,Reef,1,,,
Apogon_sp,10,Apogonidae,Planktivore,Reef,1,,,
Apogon_sp,10,Apogonidae,Planktivore,Reef,1,,,
Apogon_townsendi,6.5,Apogonidae,Planktivore,Reef,1,,,
Apolemichthys_arcuatus,18,Pomacanthidae,Micro-invertivore,Reef,1,,,
Apolemichthys_griffisi,30,Pomacanthidae,Micro-invertivore,Reef,1,,,
Apolemichthys_trimaculatus,26,Pomacanthidae,Micro-invertivore,Reef,1,,,
Apolemichthys_xanthopunctatus,25,Pomacanthidae,Micro-invertivore,Reef,1,,,
Aprion_virescens,112,Lutjanidae,Piscivore,Reef,1,,,
Aprion_virescens,112,Lutjanidae,Piscivore,Reef,1,,,
Archamia_mozambiquensis,8.9,Apogonidae,Planktivore,Reef,1,,,
Arothron_hispidus,50,Tetraodontidae,Macro-invertivore,Reef,1,,,
Arothron_mappa,65,Tetraodontidae,Macro-invertivore,Reef,1,,,
Arothron_meleagris,50,Tetraodontidae,Corallivore,Reef,1,,,
Arothron_nigropunctatus,33,Tetraodontidae,Corallivore,Reef,1,,,
Arothron_stellatus,120,Tetraodontidae,Macro-invertivore,Reef,1,,,
Aspidontus_taeniatus,11.5,Blenniidae,Micro-invertivore,Reef,1,,,
Asterropteryx_ensifera,3,Gobiidae,Detritivore,Reef,1,,,
Asterropteryx_semipunctata,4,Gobiidae,Detritivore,Reef,1,,,
Asterropteryx_semipunctata,4,Gobiidae,Detritivore,Reef,1,,,
Atherinomorus_insularum,9,Atherinidae,Planktivore,Pelagic,0,,,
Atrosalarias_fuscus,14.5,Blenniidae,Detritivore,Reef,1,,,
Aulostomus_chinensis,80,Aulostomidae,Piscivore,Reef,1,,,
Aulostomus_maculataus,80,Aulostomidae,Piscivore,Reef,1,,,
Balistapus_undulatus,30,Balistidae,Macro-invertivore,Reef,1,,,
Balistapus_undulatus,30,Balistidae,Macro-invertivore,Reef,1,,,
Balistes_polylepis,76,Balistidae,Macro-invertivore,Reef,1,,,
Balistes_vetula,60,Balistidae,Macro-invertivore,Reef,1,,,
Balistoides_conspicillum,50,Balistidae,Macro-invertivore,Reef,1,,,
Balistoides_conspicillum,50,Balistidae,Macro-invertivore,Reef,1,,,
Balistoides_sp,50,Balistidae,Macro-invertivore,Reef,1,,,
Balistoides_sp,50,Balistidae,Macro-invertivore,Reef,1,,,
Balistoides_viridescens,75,Balistidae,Macro-invertivore,Reef,1,,,
Bathygobius_soporator,15,Gobiidae,Detritivore,Reef,1,,,
Belonoperca_chabanaudi,15,Serranidae,Piscivore,Reef,1,,,
Blenniella_chrysospilos,13,Blenniidae,Detritivore,Reef,1,,,
Blenniella_gibbifrons,12,Blenniidae,Detritivore,Reef,1,,,
Bodianus_anthioides,24,Labridae,Micro-invertivore,Reef,1,,,
Bodianus_axillaris,20,Labridae,Micro-invertivore,Reef,1,,,
Bodianus_bilunulatus,55,Labridae,Micro-invertivore,Reef,1,,,
Bodianus_diana,16.9,Labridae,Micro-invertivore,Reef,1,,,
Bodianus_loxozonus,47,Labridae,Micro-invertivore,Reef,1,,,
Bodianus_mesothorax,25,Labridae,Micro-invertivore,Reef,1,,,
Bodianus_prognathus,17.9,Labridae,Micro-invertivore,Reef,1,,,
Bodianus_rufus,40,Labridae,Micro-invertivore,Reef,1,,,
Bolbometopon_muricatum,130,Scaridae,Excavator/scraper,Reef,1,,,
Bothus_lunatus,46,Bothidae,Micro-invertivore,Reef,1,,,
Bothus_mancus,51,Bothidae,Micro-invertivore,Reef,1,,,
Bothus_ocellatus,18,Bothidae,Micro-invertivore,Reef,1,,,
Bothus_pantherinus,39,Bothidae,Micro-invertivore,Reef,1,,,
Brotula_multibarbata,100,Ophidiidae,Macro-invertivore,Reef,1,,,
Bryaninops_sp,5,Gobiidae,Detritivore,Reef,1,,,
Caesio_caerulaurea,35,Caesionidae,Planktivore,Reef,1,,,
Caesio_cuning,60,Caesionidae,Planktivore,Reef,1,,,
Caesio_lunaris,40,Caesionidae,Planktivore,Reef,1,,,
Caesio_sp,50,Caesionidae,Planktivore,Reef,1,,,
Caesio_sp,50,Caesionidae,Planktivore,Reef,1,,,
Caesio_teres,40,Caesionidae,Planktivore,Reef,1,,,
Caesio_varilineata,40,Caesionidae,Planktivore,Reef,1,,,
Caesio_xanthonota,40,Caesionidae,Planktivore,Reef,1,,,
Calamus_calamus,56,Sparidae,Macro-invertivore,Reef,1,,,
Calamus_pennatula,37,Sparidae,Macro-invertivore,Reef,1,,,
Calotomus_carolinus,54,Scaridae,Browser,Reef,1,,,
Calotomus_zonarchus,33,Scaridae,Browser,Reef,1,,,
Cantherhines_dumerilii,38,Monacanthidae,Micro-invertivore,Reef,1,,,
Cantherhines_longicaudus,13.2,Monacanthidae,Micro-invertivore,Reef,1,,,
Cantherhines_macrocerus,46,Monacanthidae,Micro-invertivore,Reef,1,,,
Cantherhines_pardalis,25,Monacanthidae,Micro-invertivore,Reef,1,,,
Cantherhines_pulles,38,Monacanthidae,Micro-invertivore,Reef,1,,,
Cantherhines_rapanui,20,Monacanthidae,Micro-invertivore,Reef,1,,,
Cantherhines_sandwichiensis,19.3,Monacanthidae,Spongivore,Reef,1,,,
Cantherhines_verecundus,12.5,Monacanthidae,Micro-invertivore,Reef,1,,,
Canthidermis_sufflamen,65,Balistidae,Macro-invertivore,Reef,1,,,
Canthigaster_amboinensis,15,Tetraodontidae,Micro-invertivore,Reef,1,,,
Canthigaster_bennetti,10,Tetraodontidae,Micro-invertivore,Reef,1,,,
Canthigaster_coronata,11,Tetraodontidae,Micro-invertivore,Reef,1,,,
Canthigaster_epilampra,12,Tetraodontidae,Micro-invertivore,Reef,1,,,
Canthigaster_jactator,9,Tetraodontidae,Micro-invertivore,Reef,1,,,
Canthigaster_janthinoptera,9,Tetraodontidae,Micro-invertivore,Reef,1,,,
Canthigaster_rostrata,12,Tetraodontidae,Micro-invertivore,Reef,1,,,
Canthigaster_smithae,13,Tetraodontidae,Micro-invertivore,Reef,1,,,
Canthigaster_solandri,11.5,Tetraodontidae,Micro-invertivore,Reef,1,,,
Canthigaster_valentini,11,Tetraodontidae,Micro-invertivore,Reef,1,,,
Caracanthus_maculatus,5,Caracanthidae,Piscivore,Reef,1,,,
Caracanthus_typicus,2.9,Caracanthidae,Piscivore,Reef,1,,,
Carangoides_ferdau,70,Carangidae,Piscivore,Pelagic,0,,,
Carangoides_fulvoguttatus,120,Carangidae,Piscivore,Pelagic,0,,,
Carangoides_oblongus,46,Carangidae,Piscivore,Pelagic,0,,,
Carangoides_orthogrammus,75,Carangidae,Piscivore,Pelagic,0,,,
Carangoides_plagiotaenia,50,Carangidae,Piscivore,Pelagic,0,,,
Caranx_bartholomaei,100,Carangidae,Piscivore,Pelagic,0,,,
Caranx_crysos,70,Carangidae,Piscivore,Pelagic,0,,,
Caranx_ignobilis,170,Carangidae,Piscivore,Pelagic,0,,,
Caranx_latus,101,Carangidae,Piscivore,Pelagic,0,,,
Caranx_lugubris,100,Carangidae,Piscivore,Pelagic,0,,,
Caranx_melampygus,117,Carangidae,Piscivore,Pelagic,0,,,
Caranx_papuensis,88,Carangidae,Piscivore,Pelagic,0,,,
Caranx_ruber,65,Carangidae,Piscivore,Pelagic,0,,,
Caranx_sexfasciatus,120,Carangidae,Piscivore,Pelagic,0,,,
Caranx_sp,80,Carangidae,Piscivore,Pelagic,0,,,
Carcharhinus_albimarginatus,300,Carcharhinidae,Piscivore,Unknown,0,,,
Carcharhinus_amblyrhynchos,255,Carcharhinidae,Piscivore,Unknown,0,,,
Carcharhinus_galapagensis,370,Carcharhinidae,Piscivore,Unknown,0,,,
Carcharhinus_melanopterus,200,Carcharhinidae,Piscivore,Unknown,0,,,
Carcharhinus_perezi,250,Carcharhinidae,Piscivore,Unknown,0,,,
Centropyge_acanthops,8,Pomacanthidae,Micro-invertivore,Reef,1,,,
Centropyge_argi,8,Pomacanthidae,Micro-invertivore,Reef,1,,,
Centropyge_bicolor,15,Pomacanthidae,Micro-invertivore,Reef,1,,,
Centropyge_bispinosa,10,Pomacanthidae,Micro-invertivore,Reef,1,,,
Centropyge_bispinosus,10,Pomacanthidae,Micro-invertivore,Reef,1,,,
